,Airport,City,City_Name,Des,DesCity,DesCity_Name
1143,ISL,IST,ISTANBUL,AAP,HOU,ISTANBUL
1145,IST,IST,ISTANBUL,AAP,HOU,ISTANBUL
2239,SAW,IST,ISTANBUL,AAP,HOU,ISTANBUL
1143,ISL,IST,ISTANBUL,ABZ,ABZ,ISTANBUL
1145,IST,IST,ISTANBUL,ABZ,ABZ,ISTANBUL
2239,SAW,IST,ISTANBUL,ABZ,ABZ,ISTANBUL
1143,ISL,IST,ISTANBUL,ACC,ACC,ISTANBUL
1145,IST,IST,ISTANBUL,ACC,ACC,ISTANBUL
2239,SAW,IST,ISTANBUL,ACC,ACC,ISTANBUL
1143,ISL,IST,ISTANBUL,ADA,ADA,ISTANBUL
1145,IST,IST,ISTANBUL,ADA,ADA,ISTANBUL
2239,SAW,IST,ISTANBUL,ADA,ADA,ISTANBUL
1143,ISL,IST,ISTANBUL,ADB,IZM,ISTANBUL
1145,IST,IST,ISTANBUL,ADB,IZM,ISTANBUL
2239,SAW,IST,ISTANBUL,ADB,IZM,ISTANBUL
1143,ISL,IST,ISTANBUL,AEP,BUE,ISTANBUL
1145,IST,IST,ISTANBUL,AEP,BUE,ISTANBUL
2239,SAW,IST,ISTANBUL,AEP,BUE,ISTANBUL
1143,ISL,IST,ISTANBUL,AGP,AGP,ISTANBUL
1145,IST,IST,ISTANBUL,AGP,AGP,ISTANBUL
2239,SAW,IST,ISTANBUL,AGP,AGP,ISTANBUL
1143,ISL,IST,ISTANBUL,AKX,AKX,ISTANBUL
1145,IST,IST,ISTANBUL,AKX,AKX,ISTANBUL
2239,SAW,IST,ISTANBUL,AKX,AKX,ISTANBUL
1143,ISL,IST,ISTANBUL,ALA,ALA,ISTANBUL
1145,IST,IST,ISTANBUL,ALA,ALA,ISTANBUL
2239,SAW,IST,ISTANBUL,ALA,ALA,ISTANBUL
1143,ISL,IST,ISTANBUL,ALG,ALG,ISTANBUL
1145,IST,IST,ISTANBUL,ALG,ALG,ISTANBUL
2239,SAW,IST,ISTANBUL,ALG,ALG,ISTANBUL
1143,ISL,IST,ISTANBUL,AMM,AMM,ISTANBUL
1145,IST,IST,ISTANBUL,AMM,AMM,ISTANBUL
2239,SAW,IST,ISTANBUL,AMM,AMM,ISTANBUL
1143,ISL,IST,ISTANBUL,AMS,AMS,ISTANBUL
1145,IST,IST,ISTANBUL,AMS,AMS,ISTANBUL
2239,SAW,IST,ISTANBUL,AMS,AMS,ISTANBUL
1143,ISL,IST,ISTANBUL,AQJ,AQJ,ISTANBUL
1145,IST,IST,ISTANBUL,AQJ,AQJ,ISTANBUL
2239,SAW,IST,ISTANBUL,AQJ,AQJ,ISTANBUL
1143,ISL,IST,ISTANBUL,ARN,STO,ISTANBUL
1145,IST,IST,ISTANBUL,ARN,STO,ISTANBUL
2239,SAW,IST,ISTANBUL,ARN,STO,ISTANBUL
1143,ISL,IST,ISTANBUL,ASB,ASB,ISTANBUL
1145,IST,IST,ISTANBUL,ASB,ASB,ISTANBUL
2239,SAW,IST,ISTANBUL,ASB,ASB,ISTANBUL
1143,ISL,IST,ISTANBUL,ASR,ASR,ISTANBUL
1145,IST,IST,ISTANBUL,ASR,ASR,ISTANBUL
2239,SAW,IST,ISTANBUL,ASR,ASR,ISTANBUL
1143,ISL,IST,ISTANBUL,ATH,ATH,ISTANBUL
1145,IST,IST,ISTANBUL,ATH,ATH,ISTANBUL
2239,SAW,IST,ISTANBUL,ATH,ATH,ISTANBUL
1143,ISL,IST,ISTANBUL,ATL,ATL,ISTANBUL
1145,IST,IST,ISTANBUL,ATL,ATL,ISTANBUL
2239,SAW,IST,ISTANBUL,ATL,ATL,ISTANBUL
1143,ISL,IST,ISTANBUL,AUH,AUH,ISTANBUL
1145,IST,IST,ISTANBUL,AUH,AUH,ISTANBUL
2239,SAW,IST,ISTANBUL,AUH,AUH,ISTANBUL
1143,ISL,IST,ISTANBUL,AYT,AYT,ISTANBUL
1145,IST,IST,ISTANBUL,AYT,AYT,ISTANBUL
2239,SAW,IST,ISTANBUL,AYT,AYT,ISTANBUL
1143,ISL,IST,ISTANBUL,BAH,BAH,ISTANBUL
1145,IST,IST,ISTANBUL,BAH,BAH,ISTANBUL
2239,SAW,IST,ISTANBUL,BAH,BAH,ISTANBUL
1143,ISL,IST,ISTANBUL,BCN,BCN,ISTANBUL
1145,IST,IST,ISTANBUL,BCN,BCN,ISTANBUL
2239,SAW,IST,ISTANBUL,BCN,BCN,ISTANBUL
1143,ISL,IST,ISTANBUL,BEG,BEG,ISTANBUL
1145,IST,IST,ISTANBUL,BEG,BEG,ISTANBUL
2239,SAW,IST,ISTANBUL,BEG,BEG,ISTANBUL
1143,ISL,IST,ISTANBUL,BEY,BEY,ISTANBUL
1145,IST,IST,ISTANBUL,BEY,BEY,ISTANBUL
2239,SAW,IST,ISTANBUL,BEY,BEY,ISTANBUL
1143,ISL,IST,ISTANBUL,BFI,SEA,ISTANBUL
1145,IST,IST,ISTANBUL,BFI,SEA,ISTANBUL
2239,SAW,IST,ISTANBUL,BFI,SEA,ISTANBUL
1143,ISL,IST,ISTANBUL,BFS,BFS,ISTANBUL
1145,IST,IST,ISTANBUL,BFS,BFS,ISTANBUL
2239,SAW,IST,ISTANBUL,BFS,BFS,ISTANBUL
1143,ISL,IST,ISTANBUL,BGW,BGW,ISTANBUL
1145,IST,IST,ISTANBUL,BGW,BGW,ISTANBUL
2239,SAW,IST,ISTANBUL,BGW,BGW,ISTANBUL
1143,ISL,IST,ISTANBUL,BGY,MIL,ISTANBUL
1145,IST,IST,ISTANBUL,BGY,MIL,ISTANBUL
2239,SAW,IST,ISTANBUL,BGY,MIL,ISTANBUL
1143,ISL,IST,ISTANBUL,BHD,BFS,ISTANBUL
1145,IST,IST,ISTANBUL,BHD,BFS,ISTANBUL
2239,SAW,IST,ISTANBUL,BHD,BFS,ISTANBUL
1143,ISL,IST,ISTANBUL,BHX,BHX,ISTANBUL
1145,IST,IST,ISTANBUL,BHX,BHX,ISTANBUL
2239,SAW,IST,ISTANBUL,BHX,BHX,ISTANBUL
1143,ISL,IST,ISTANBUL,BIO,BIO,ISTANBUL
1145,IST,IST,ISTANBUL,BIO,BIO,ISTANBUL
2239,SAW,IST,ISTANBUL,BIO,BIO,ISTANBUL
1143,ISL,IST,ISTANBUL,BKK,BKK,ISTANBUL
1145,IST,IST,ISTANBUL,BKK,BKK,ISTANBUL
2239,SAW,IST,ISTANBUL,BKK,BKK,ISTANBUL
1143,ISL,IST,ISTANBUL,BLL,BLL,ISTANBUL
1145,IST,IST,ISTANBUL,BLL,BLL,ISTANBUL
2239,SAW,IST,ISTANBUL,BLL,BLL,ISTANBUL
1143,ISL,IST,ISTANBUL,BLQ,BLQ,ISTANBUL
1145,IST,IST,ISTANBUL,BLQ,BLQ,ISTANBUL
2239,SAW,IST,ISTANBUL,BLQ,BLQ,ISTANBUL
1143,ISL,IST,ISTANBUL,BLR,BLR,ISTANBUL
1145,IST,IST,ISTANBUL,BLR,BLR,ISTANBUL
2239,SAW,IST,ISTANBUL,BLR,BLR,ISTANBUL
1143,ISL,IST,ISTANBUL,BMA,STO,ISTANBUL
1145,IST,IST,ISTANBUL,BMA,STO,ISTANBUL
2239,SAW,IST,ISTANBUL,BMA,STO,ISTANBUL
1143,ISL,IST,ISTANBUL,BOG,BOG,ISTANBUL
1145,IST,IST,ISTANBUL,BOG,BOG,ISTANBUL
2239,SAW,IST,ISTANBUL,BOG,BOG,ISTANBUL
1143,ISL,IST,ISTANBUL,BOM,BOM,ISTANBUL
1145,IST,IST,ISTANBUL,BOM,BOM,ISTANBUL
2239,SAW,IST,ISTANBUL,BOM,BOM,ISTANBUL
1143,ISL,IST,ISTANBUL,BOS,BOS,ISTANBUL
1145,IST,IST,ISTANBUL,BOS,BOS,ISTANBUL
2239,SAW,IST,ISTANBUL,BOS,BOS,ISTANBUL
1143,ISL,IST,ISTANBUL,BRE,BRE,ISTANBUL
1145,IST,IST,ISTANBUL,BRE,BRE,ISTANBUL
2239,SAW,IST,ISTANBUL,BRE,BRE,ISTANBUL
1143,ISL,IST,ISTANBUL,BRU,BRU,ISTANBUL
1145,IST,IST,ISTANBUL,BRU,BRU,ISTANBUL
2239,SAW,IST,ISTANBUL,BRU,BRU,ISTANBUL
1143,ISL,IST,ISTANBUL,BSL,BSL,ISTANBUL
1145,IST,IST,ISTANBUL,BSL,BSL,ISTANBUL
2239,SAW,IST,ISTANBUL,BSL,BSL,ISTANBUL
1143,ISL,IST,ISTANBUL,BUD,BUD,ISTANBUL
1145,IST,IST,ISTANBUL,BUD,BUD,ISTANBUL
2239,SAW,IST,ISTANBUL,BUD,BUD,ISTANBUL
1143,ISL,IST,ISTANBUL,BVA,PAR,ISTANBUL
1145,IST,IST,ISTANBUL,BVA,PAR,ISTANBUL
2239,SAW,IST,ISTANBUL,BVA,PAR,ISTANBUL
1143,ISL,IST,ISTANBUL,BWI,BWI,ISTANBUL
1145,IST,IST,ISTANBUL,BWI,BWI,ISTANBUL
2239,SAW,IST,ISTANBUL,BWI,BWI,ISTANBUL
1143,ISL,IST,ISTANBUL,CAI,CAI,ISTANBUL
1145,IST,IST,ISTANBUL,CAI,CAI,ISTANBUL
2239,SAW,IST,ISTANBUL,CAI,CAI,ISTANBUL
1143,ISL,IST,ISTANBUL,CAN,CAN,ISTANBUL
1145,IST,IST,ISTANBUL,CAN,CAN,ISTANBUL
2239,SAW,IST,ISTANBUL,CAN,CAN,ISTANBUL
1143,ISL,IST,ISTANBUL,CCS,CCS,ISTANBUL
1145,IST,IST,ISTANBUL,CCS,CCS,ISTANBUL
2239,SAW,IST,ISTANBUL,CCS,CCS,ISTANBUL
1143,ISL,IST,ISTANBUL,CDG,PAR,ISTANBUL
1145,IST,IST,ISTANBUL,CDG,PAR,ISTANBUL
2239,SAW,IST,ISTANBUL,CDG,PAR,ISTANBUL
1143,ISL,IST,ISTANBUL,CGH,SAO,ISTANBUL
1145,IST,IST,ISTANBUL,CGH,SAO,ISTANBUL
2239,SAW,IST,ISTANBUL,CGH,SAO,ISTANBUL
1143,ISL,IST,ISTANBUL,CGK,JKT,ISTANBUL
1145,IST,IST,ISTANBUL,CGK,JKT,ISTANBUL
2239,SAW,IST,ISTANBUL,CGK,JKT,ISTANBUL
1143,ISL,IST,ISTANBUL,CGN,CGN,ISTANBUL
1145,IST,IST,ISTANBUL,CGN,CGN,ISTANBUL
2239,SAW,IST,ISTANBUL,CGN,CGN,ISTANBUL
1143,ISL,IST,ISTANBUL,CIA,ROM,ISTANBUL
1145,IST,IST,ISTANBUL,CIA,ROM,ISTANBUL
2239,SAW,IST,ISTANBUL,CIA,ROM,ISTANBUL
1143,ISL,IST,ISTANBUL,CKY,CKY,ISTANBUL
1145,IST,IST,ISTANBUL,CKY,CKY,ISTANBUL
2239,SAW,IST,ISTANBUL,CKY,CKY,ISTANBUL
1143,ISL,IST,ISTANBUL,CLT,CLT,ISTANBUL
1145,IST,IST,ISTANBUL,CLT,CLT,ISTANBUL
2239,SAW,IST,ISTANBUL,CLT,CLT,ISTANBUL
1143,ISL,IST,ISTANBUL,CMB,CMB,ISTANBUL
1145,IST,IST,ISTANBUL,CMB,CMB,ISTANBUL
2239,SAW,IST,ISTANBUL,CMB,CMB,ISTANBUL
1143,ISL,IST,ISTANBUL,CMH,CMH,ISTANBUL
1145,IST,IST,ISTANBUL,CMH,CMH,ISTANBUL
2239,SAW,IST,ISTANBUL,CMH,CMH,ISTANBUL
1143,ISL,IST,ISTANBUL,CMN,CAS,ISTANBUL
1145,IST,IST,ISTANBUL,CMN,CAS,ISTANBUL
2239,SAW,IST,ISTANBUL,CMN,CAS,ISTANBUL
1143,ISL,IST,ISTANBUL,CPH,CPH,ISTANBUL
1145,IST,IST,ISTANBUL,CPH,CPH,ISTANBUL
2239,SAW,IST,ISTANBUL,CPH,CPH,ISTANBUL
1143,ISL,IST,ISTANBUL,CPT,CPT,ISTANBUL
1145,IST,IST,ISTANBUL,CPT,CPT,ISTANBUL
2239,SAW,IST,ISTANBUL,CPT,CPT,ISTANBUL
1143,ISL,IST,ISTANBUL,CRL,BRU,ISTANBUL
1145,IST,IST,ISTANBUL,CRL,BRU,ISTANBUL
2239,SAW,IST,ISTANBUL,CRL,BRU,ISTANBUL
1143,ISL,IST,ISTANBUL,CVG,CVG,ISTANBUL
1145,IST,IST,ISTANBUL,CVG,CVG,ISTANBUL
2239,SAW,IST,ISTANBUL,CVG,CVG,ISTANBUL
1143,ISL,IST,ISTANBUL,DAC,DAC,ISTANBUL
1145,IST,IST,ISTANBUL,DAC,DAC,ISTANBUL
2239,SAW,IST,ISTANBUL,DAC,DAC,ISTANBUL
1143,ISL,IST,ISTANBUL,DAL,DFW,ISTANBUL
1145,IST,IST,ISTANBUL,DAL,DFW,ISTANBUL
2239,SAW,IST,ISTANBUL,DAL,DFW,ISTANBUL
