PVG,ABV
ADB,DUS
FRA,LAX
BOM,HRK
NBO,TXL
HAN,KBP
ORD,CGK
LHR,ATL
JFK,DBV
JFK,MAG
JFK,MAN
DXB,AMM
DXB,ATL
DXB,MEM
DEL,MEX
DWC,BLL
SGN,FCO
IAH,MAD
ESB,ASB
ESB,DYU
VIE,TZX
SIN,LIS
YYZ,MAD
HYD,MPM
CAI,JFK
NRT,ORD
HAM,KIV
GRU,OTO
GRU,OTP
MAA,BKO
MAA,BLL
LHE,ALC
AMM,SVX
PRG,ADA
JNB,GOT
MIA,ZNZ
BOG,BKK
WAW,DAC
SFO,PVG
TUN,ATH
MLE,OSL
BLL,MRU
CMN,YVR
IAD,ULN
ACC,RIX
CPH,GZT
IKA,EDI
BOS,BEG
BEG,OSL
SOF,DAR
ARN,KUL
RTM,MLE
ATH,ODS
ATH,OPO
MAN,FRU
GVA,ATL
GVA,TAS
FCO,CKG
KWI,ALC
KWI,LHR
MEX,BAH
VLC,TBS
KTM,KWI
GDL,DWC
BEY,HAN
BEY,TPE
ALA,SVQ
DSS,MED
DSS,MEX
LCJ,MCT
KIX,BEY
LIS,DAR
TBS,BRU
TLS,HAN
GOT,JNB
ZAG,MBA
RIX,DEL
CGN,SKP
FRU,KYA
BOD,TPE
DUB,AYT
DUB,OTP
BLQ,OVB
FIH,MUC
NTE,CMN
KRT,DAR
VCE,DKR
LIL,KRT
MLA,BOS
BTS,BOG
SZG,IAH
FMO,HBE
RUH,ATH
RUH,HYD
RUH,ORN
NCE,HBE
LEJ,IST
EBL,FCO
EBL,HYD
DOH,BUD
DOH,SVO
SEA,MAD
SEA,MLA
SVX,AMS
SVX,MTY
SHJ,LYS
JED,FCO
JED,FIH
JED,MBA
JED,TUN
HKT,MXP
KIV,KUL
GZT,DSS
GZT,RUH
SVO,DWC
SVO,WAW
LUX,NIM
AUH,MAN
ECN,ADB
ECN,TLV
JIB,MBA
GLA,RUH
ZAZ,SAW
BWI,CTA
BWI,DAC
MCO,AYT
TIA,EBL
SJO,ARN
ABV,BRE
CTA,KHI
RZE,IKA
HRK,ORD
AWZ,MXP
CVG,TUN
MSY,ATH
